Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,977,"1,008",52400.00%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,009","1,040",16400.00%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,Half Yearly,2021-07-01 to 2021-12-31,,"3,987","4,037","1,779"
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,357","1,343",44100.00%
Mitsubishi HC Capital UK PLC,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,"4,385","5,015","2,518"
Moneybarn No. 1 Limited,PROVIDENT FINANCIAL PLC,,Half Yearly,2021-07-01 to 2021-12-31,,"3,956","5,245","1,680"
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,2021-03-01 to 2021-08-31,,"1,080",995,25800.00%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,2021-02-01 to 2021-07-31,,805,800,35200.00%
Morses Club PLC,MORSES CLUB PLC,,Half Yearly,2021-03-01 to 2021-08-31,,"10,214","11,731","2,432"
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,909,884,21200.00%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,"4,333","4,630","2,584"
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"5,833","6,709","5,301"
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,2021-04-05 to 2021-10-04,,"1,982","1,927","1,117"
NCO Europe Limited,NO GROUP,,Yearly,2021-01-01 to 2021-12-31,,725,691,31300.00%
NewDay Ltd,NO GROUP,,Half Yearly,2021-07-01 to 2021-12-31,,"11,093","11,863","4,207"
Next Retail Limited,NO GROUP,,Half Yearly,2021-02-01 to 2021-07-31,,"39,856","40,001","13,509"
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,2021-07-01 to 2021-12-31,,56,54,100.00%
OAKBROOK FINANCE LIMITED,OAKBROOK HOLDINGS LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"2,266","2,272",45100.00%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,189,176,3600.00%
Oodle Financial Services Limited,OODLE FINANCIAL SERVICES LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"2,752","2,473","1,422"
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,2021-04-01 to 2021-09-30,,439,440,21100.00%
PRA Group (UK) Limited,"PRA GROUP, INC.",no,Half Yearly,2021-07-01 to 2021-12-31,,"1,713","1,848",40600.00%
