Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Active Securities Limited,ACTIVE SECURITIES LIMITED,no,Half Yearly,01-10-2019 to 31-03-2020,,"8,154","4,474",51.2%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,01-09-2019 to 29-02-2020,,23,23,56.5%
Advantage Finance Ltd,S & U PLC,no,Half Yearly,01-08-2019 to 31-01-2020,,757,726,55.9%
Ageas Insurance Limited,AGEAS SA-NV,no,Half Yearly,01-01-2020 to 30-06-2020,,1,1,0.0%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,01-01-2020 to 30-06-2020,,179,181,33.1%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,Half Yearly,01-01-2020 to 30-06-2020,,33,35,37.1%
Aioi Nissay Dowa Insurance UK Limited,MS & AD INSURANCE GROUP,yes,Half Yearly,01-01-2020 to 30-06-2020,,16,17,52.9%
Ald Automotive Limited,SOCIÉTÉ GÉNÉRALE SA,no,Half Yearly,01-01-2020 to 30-06-2020,,778,832,55.9%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,50,47,23.4%
Allianz Insurance Plc,ALLIANZ SE,no,Half Yearly,01-01-2020 to 30-06-2020,,6,7,0.0%
Amigo Loans Ltd,NO GROUP,no,Half Yearly,01-10-2019 to 31-03-2020,,"8,535","6,511",29.9%
APFIN LTD,NO GROUP,no,Half Yearly,01-10-2019 to 31-03-2020,,588,573,29.8%
Arrow Global Limited,ARROW GLOBAL GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,008",943,32.8%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER & CO.,yes,Half Yearly,01-01-2020 to 30-06-2020,,4,4,75.0%
Arval UK Limited,BNP PARIBAS SA,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,677","1,613",64.7%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,67,66,22.7%
Automobile Association Insurance Services Limited,AA PLC,no,Half Yearly,01-08-2019 to 31-01-2020,,218,232,16.8%
Avantia Insurance Limited,KINGSTON TOPCO LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,43,40,72.5%
Aviva UK Digital Limited,AVIVA PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,19,19,26.3%
Bamboo Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,497","1,226",29.3%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,980","2,847",49.7%
Barclays Bank Plc,BARCLAYS PLC,yes,Half Yearly,01-01-2020 to 30-06-2020,,"3,801","3,947",60.1%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,01-01-2020 to 30-06-2020,,"7,070","5,825",57.8%
BFSL Limited,BGL GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,888,972,49.7%
BISL Limited,BGL GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,214,242,42.1%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"4,087","3,467",50.5%
Blue Motor Finance Ltd,NO GROUP,no,Half Yearly,31-12-2019 to 30-06-2020,,"1,371","1,339",26.2%
BMW Financial Services(GB) Limited,BMW AG,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,671","2,704",45.5%
British Gas Services Limited,CENTRICA PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,45,42,35.7%
Cabot Credit Management Group Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,01-01-2020 to 30-06-2020,,"2,385","3,424",25.4%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,25,25,48.0%
Chubb European Group SE,CHUBB LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,1,1,100.0%
CIS General Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,283,290,53.1%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,01-08-2019 to 31-01-2020,,"26,794","26,513",14.1%
Clydesdale Bank Plc,CYBG PLC,yes,Half Yearly,01-10-2019 to 31-03-2020,,596,505,72.9%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,44,41,43.9%
Covea Insurance plc,COVEA COOPERATIONS SA,yes,Half Yearly,01-01-2020 to 30-06-2020,,22,21,76.2%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,Half Yearly,01-01-2020 to 30-06-2020,,1,1,0.0%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,348","2,512",39.9%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,Half Yearly,01-01-2020 to 30-06-2020,,15,12,50.0%
Damartex UK Limited,NO GROUP,no,Yearly,01-07-2019 to 30-06-2020,,"1,741","1,737",70.6%
Debt Managers (Services) Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,190","2,019",20.2%
Devitt Insurance Services Ltd,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,62,63,22.2%
Drydens Limited,NO GROUP,no,Half Yearly,01-10-2019 to 31-03-2020,,536,535,35.3%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,01-10-2019 to 31-03-2020,,60,48,29.2%
EQUIFAX LIMITED,EQUIFAX INC,no,Half Yearly,01-01-2020 to 30-06-2020,,"9,382","7,472",23.1%
EUI Limited,ADMIRAL GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,052","1,055",40.4%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,84,86,59.3%
Evergreen Finance London Limited,EVERGREEN FINANCE LONDON LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,175","1,381",23.4%
Everyday Lending Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,964,796,13.2%
Everyday Loans Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,574","1,302",18.0%
Experian Limited,EXPERIAN PLC,no,Half Yearly,01-10-2019 to 31-03-2020,,"12,821","13,283",31.3%
Extracover Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,130,130,32.3%
Fairmead Insurance Limited,ALLIANZ SE,no,Half Yearly,01-01-2020 to 30-06-2020,,13,12,100.0%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,01-01-2020 to 30-06-2020,,622,631,54.2%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,100,86,64.0%
First Response Finance Ltd,ITOCHU CORPORATION,no,Half Yearly,01-10-2019 to 31-03-2020,,613,594,58.9%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"4,876","4,925",57.3%
Foundation for Credit Counselling,FOUNDATION FOR CREDIT COUNSELLING,no,Half Yearly,01-01-2020 to 30-06-2020,,875,876,45.5%
Freemans Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-09-2019 to 29-02-2020,,"4,283","4,353",61.5%
Funding Circle Ltd,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,445,360,17.5%
Gain Credit LLC,LENDING STREAM LLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"10,731","11,781",48.5%
Go Car Credit Limited,CARFICO LIMITED,no,Half Yearly,01-10-2019 to 31-03-2020,,"1,095","1,141",33.5%
Grattan Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-09-2019 to 29-02-2020,,"7,130","7,191",62.9%
Hastings Insurance Services Limited,HASTINGS GROUP HOLDINGS PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,82,63,61.9%
Hitachi Capital (UK) PLC,HITACHI CAPITAL (UK) PLC,no,Half Yearly,01-10-2019 to 31-03-2020,,"6,318","6,342",58.5%
Hoist Finance UK Limited,HOIST FINANCE UK LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,696","1,835",28.2%
Homeserve Membership Limited,HOMESERVE PLC,no,Half Yearly,01-10-2019 to 31-03-2020,,691,622,82.0%
Howserv Limited,STAYSURE HOLDINGS LTD,no,Half Yearly,01-01-2020 to 30-06-2020,,6,6,16.7%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"22,752","19,562",65.5%
Indigo Michael Limited,ACCOUNT TECHNOLOGIES LIMITED,no,Half Yearly,01-09-2019 to 29-02-2020,,"3,791","3,617",60.3%
Instant Cash Loans Limited,NO GROUP,no,Yearly,01-07-2019 to 30-06-2020,,"180,239","4,597",41.9%
Investec Bank PLC,INVESTEC PLC,no,Half Yearly,01-10-2019 to 31-03-2020,,3,4,75.0%
J D Williams & Company Limited,N BROWN GROUP PLC,no,Half Yearly,01-09-2019 to 29-02-2020,,"3,993","4,142",16.0%
Lantern Debt Recovery Services Ltd,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,702,592,16.6%
LeasePlan UK Limited,INULA HOLDING UK LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,728,557,61.8%
Lex Autolease Ltd,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,272","2,060",56.2%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,3,4,75.0%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"5,577","5,358",51.9%
Loans 2 Go Limited,MONEY IN MINUTES LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,330","2,409",8.3%
Lowell Financial Ltd,LOWELL GROUP LIMITED,yes,Half Yearly,01-01-2020 to 30-06-2020,,"6,836","7,215",39.7%
Madison CF UK Limited,MADISON CF UK LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"4,403","5,042",41.9%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,904,897,48.3%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,828,819,95.8%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,Half Yearly,01-01-2020 to 30-06-2020,,"3,658","3,686",52.3%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,392,387,25.3%
Moneybarn No. 1 Limited,PROVIDENT FINANCIAL PLC,yes,Half Yearly,01-01-2020 to 30-06-2020,,"2,811","2,804",42.1%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,01-09-2019 to 29-02-2020,,202,194,38.7%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,01-08-2019 to 31-01-2020,,631,623,51.8%
Morses Club PLC,MORSES CLUB PLC,no,Half Yearly,01-09-2019 to 29-02-2020,,"2,610","2,209",27.5%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"3,414","3,563",62.7%
MYJAR Limited,MYJAR HOLDINGS LIMITED,no,Half Yearly,01-09-2019 to 29-02-2020,,"6,243","6,266",39.9%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"5,564","5,798",75.9%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,05-10-2019 to 04-04-2020,,"1,314","1,287",53.4%
NewDay Ltd,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"14,248","18,508",43.1%
Next Retail Limited,NO GROUP,no,Half Yearly,01-08-2019 to 31-01-2020,,"14,443","14,889",42.3%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,01-01-2020 to 30-06-2020,,79,83,9.6%
Novaloans Ltd,NO GROUP,no,Yearly,01-06-2019 to 31-05-2020,,"1,572","1,461",20.9%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,Half Yearly,01-10-2019 to 31-03-2020,,12,13,30.8%
OAKBROOK FINANCE LIMITED,OAKBROOK HOLDINGS LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,623","1,656",27.5%
Omni Capital Retail Finance Limited,CASTLE TRUST HOLDINGS (JERSEY) LIMITED,no,Half Yearly,01-10-2019 to 31-03-2020,,559,713,42.2%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,108,104,28.8%
Oodle Financial Services Limited,OODLE FINANCIAL SERVICES LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,716","1,779",41.7%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,01-10-2019 to 31-03-2020,,542,597,44.7%
PDL Finance Limited,SDJ ENTERPRISES LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,270","1,334",17.2%
PRA Group (UK) Limited,"PRA GROUP, INC.",no,Half Yearly,01-01-2020 to 30-06-2020,,"1,765","1,683",22.5%
Premium Credit Limited,"FIFTH CINVEN FUND LP, THE",no,Half Yearly,01-01-2020 to 30-06-2020,,"2,455","2,493",14.8%
Provident Personal Credit Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"25,137","19,951",37.9%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,165","2,488",33.3%
Qmetric Group Limited,R&H TRUST CO LTD,no,Half Yearly,01-10-2019 to 31-03-2020,,2,2,50.0%
Quint Group Limited,NO GROUP,no,Half Yearly,29-09-2019 to 28-03-2020,,709,713,56.7%
RCI Financial Services Limited,RENAULT,no,Half Yearly,01-01-2020 to 30-06-2020,,895,883,46.0%
S.D. Taylor Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,976,596,22.7%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,29,29,51.7%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,01-09-2019 to 29-02-2020,,"1,018","1,018",61.1%
Santander Consumer (UK) Plc,BANCO SANTANDER SA,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,415","1,418",42.1%
Santander UK Plc,BANCO SANTANDER SA,no,Half Yearly,01-01-2020 to 30-06-2020,,"4,484","4,215",36.1%
ScoresMatter Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,809","1,879",1.6%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,173","2,067",45.5%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"3,183","2,926",63.5%
Shop Direct Finance Company Limited,LW HOLDINGS LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,"27,138","25,531",33.6%
Starling Bank Limited,STARLING BANK LIMITED,no,Half Yearly,01-12-2019 to 31-05-2020,,45,43,46.5%
STARTLINE MOTOR FINANCE LIMITED,STARTLINE INVESTORS LP,no,Half Yearly,01-01-2020 to 30-06-2020,,768,678,53.2%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,Half Yearly,01-10-2019 to 31-03-2020,,"8,606","11,092",58.2%
Swinton Group Ltd,ARDONAGH GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,339,423,39.2%
Tandem Bank Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,394,383,50.7%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,Half Yearly,01-10-2019 to 31-03-2020,,"2,947","2,945",36.1%
Tesco Personal Finance PLC,TESCO PLC,no,Half Yearly,01-09-2019 to 29-02-2020,,"1,271","1,278",50.4%
The Carphone Warehouse Ltd,DIXONS CARPHONE PLC,no,Half Yearly,01-11-2019 to 30-04-2020,,84,92,78.3%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,"1,466","1,585",72.6%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,13,29,20.7%
TRANSUNION INTERNATIONAL UK LIMITED,TRANSUNION INFORMATION GROUP LIMITED,no,Half Yearly,01-01-2020 to 30-06-2020,,803,771,28.4%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,01-01-2020 to 30-06-2020,,932,895,56.1%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,77,75,44.0%
UBS AG,UBS GROUP AG,no,Half Yearly,01-01-2020 to 30-06-2020,,7,7,0.0%
UK Credit Limited,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,590,517,44.9%
Ulster Bank Ltd,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,171,204,71.1%
Uncle Buck Finance LLP,NO GROUP,no,Half Yearly,01-10-2019 to 31-03-2020,,"3,564","3,402",16.3%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,36,50,28.0%
Vauxhall Finance plc,VAUXHALL FINANCE PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,951,898,27.6%
Virgin Media Mobile Finance Limited,LIBERTY GLOBAL PLC,no,Half Yearly,01-01-2020 to 30-06-2020,,"2,853","3,107",82.3%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,no,Half Yearly,01-01-2020 to 30-06-2020,,85,81,64.2%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN AG,no,Half Yearly,01-01-2020 to 30-06-2020,,"13,611","12,713",62.4%
Wescot Credit Services Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,01-01-2020 to 30-06-2020,,"2,077","2,233",54.1%
Western Circle Ltd,NO GROUP,no,Yearly,01-04-2019 to 31-03-2020,,"1,107","1,088",1.2%
Xbridge Limited,TRAVELERS COMPANIES INC.,no,Half Yearly,01-01-2020 to 30-06-2020,,31,22,18.2%
Zopa Bank Limited,NO GROUP,yes,Half Yearly,01-01-2020 to 30-06-2020,,693,679,36.4%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,Half Yearly,01-01-2020 to 30-06-2020,,8,8,87.5%
